code	MWL	value
miz	3.475	very short
mjc	4.342	moderately short
mjk	3.75	short
mka	2.916	extremely short
mkb	4.169	moderately short
mkd	4.097	moderately short
mke	3.594	short
mki	4.474	moderately short
mkj	4.266	moderately short
mkl	3.727	short
mkn	3.494	very short
mko	4.688	moderately long
mkq	3.486	very short
mkr	4.443	moderately short
mks	4.737	moderately long
mku	5.207	long
mkz	3.486	very short
mla	2.931	extremely short
mlc	4.077	moderately short
mle	4.105	moderately short
mlg	4.893	moderately long
mli	5.91	very long
mlk	4.931	moderately long
mll	4.365	moderately short
mlm	2.935	extremely short
mlt	4.487	moderately short
mlu	4.846	moderately long
mma	4.287	moderately short
mmb	4.013	moderately short
mme	3.754	short
mmi	4	short
mmn	4.778	moderately long
mmo	4.013	moderately short
mmp	4.233	moderately short
mms	4.489	moderately short
mmv	3.5	very short
mmw	4.013	moderately short
mna	4.301	moderately short
mnc	4.379	moderately short
mne	3.729	short
mng	3.629	short
mni	3.267	very short
mnj	5.586	very long
mnk	3.444	very short
mnm	3.765	short
mno	4.697	moderately long
mnr	4.078	moderately short
mns	4.088	moderately short
mnt	4.536	moderately long
mnu	2.942	extremely short
mnv	5.081	long
mnx	3.769	short
mny	4.429	moderately short
mnz	3.033	very short
moa	4.117	moderately short
moc	3.962	short
moe	4.062	moderately short
mof	4.921	moderately long
mog	4	short
moh	4.412	moderately short
moj	4.59	moderately long
mok	3.986	short
mom	4.296	moderately short
mon	3.727	short
moo	4.369	moderately short
mop	4.047	moderately short
mor	4.182	moderately short
mos	4.113	moderately short
mot	4.103	moderately short
mou	3.4	very short
mov	5.224	long
mpa	5.014	long
mpo	4.18	moderately short
mpt	3.654	short
mpu	3.308	very short
mpy	4.788	moderately long
mqf	4	short
mra	6.076	extremely long
mrc	3.41	very short
mrd	3.765	short
mrg	3.838	short
mrh	5.393	long
mri	4.106	moderately short
mrk	4.771	moderately long
mrl	3.897	short
mrn	4.382	moderately short
mro	4.256	moderately short
mrq	3.72	short
mrr	4.931	moderately long
mrs	5.361	long
mrt	5.622	very long
mru	2.53	extremely short
mrw	4.529	moderately long
msc	4.25	moderately short
mse	5.833	very long
msh	3.426	very short
msk	4.256	moderately short
msl	4.321	moderately short
msm	4.679	moderately long
msn	3.859	short
mss	4.269	moderately short
msy	3.486	very short
mta	4.686	moderately long
mtb	3.865	short
mtg	5.487	long
mth	3.431	very short
mti	4.25	moderately short
mtk	3.75	short
mtl	3.829	short
mto	3.345	very short
mtp	2.974	extremely short
mts	4.263	moderately short
mtt	5.551	very long
mtu	4.118	moderately short
mua	4.526	moderately long
mud	2.444	extremely short
mug	3.853	short
mui	4.968	moderately long
mul	3.083	very short
mum	3.103	very short
mun	3.788	short
muo	2.765	extremely short
mup	3.557	short
mur	4.25	moderately short
mus	4.59	moderately long
mut	4.058	moderately short
muu	4.243	moderately short
muy	4.562	moderately long
mwb	5	moderately long
mwe	3.756	short
mwl	3.962	short
mwn	4.888	moderately long
mwo	3.111	very short
mwp	4.218	moderately short
mxa	3.5	very short
mxc	3.872	short
mxe	4.118	moderately short
mxj	3.397	very short
mxo	4.069	moderately short
mxp	3.485	very short
mxs	3.429	very short
mxu	3.655	short
mxy	3.811	short
mya	4.096	moderately short
myg	3.578	short
myi	4.946	moderately long
mym	4.967	moderately long
myn	4.947	moderately long
myo	4.404	moderately short
myr	4.875	moderately long
mzc	4.287	moderately short
mzh	3.722	short
mzn	3.631	short
nab	3.875	short
nad	3.312	very short
naf	3.975	short
nag	4.5	moderately short
nah	4.338	moderately short
nai	4.512	moderately long
naj	4.223	moderately short
nak	4.84	moderately long
nal	4.339	moderately short
nam	3.487	very short
nap	4.304	moderately short
nar	3.447	very short
nas	4.014	moderately short
nat	4.77	moderately long
nau	3.485	very short
nav	3.55	short
nax	2.656	extremely short
nbb	3.878	short
nbd	3.192	very short
nbe	3.917	short
nbh	3.475	very short
nbk	4.102	moderately short
nbm	3	extremely short
nbo	3.778	short
nbr	3.913	short
nca	4.282	moderately short
ncm	4.95	moderately long
ndb	4.172	moderately short
nde	3.811	short
ndg	2.517	extremely short
ndi	2.917	extremely short
ndj	5.819	very long
ndo	3.361	very short
ndt	3.158	very short
ndu	3.363	very short
ndy	3.575	short
neg	3.987	short
neh	4.316	moderately short
nel	3.409	very short
nen	3.925	short
nep	3.861	short
nev	4.281	moderately short
new	3.528	short
ney	3.267	very short
nez	4.842	moderately long
nga	4.513	moderately long
ngb	3.337	very short
ngd	3.571	short
ngi	5.129	long
ngj	4.968	moderately long
ngk	5.172	long
ngl	4.605	moderately long
ngm	3.138	very short
ngn	5.257	long
ngo	4.104	moderately short
ngr	4.348	moderately short
ngt	3.606	short
ngu	4.257	moderately short
ngw	4.766	moderately long
ngz	4.291	moderately short
nhc	4.613	moderately long
nhh	4.468	moderately short
nhm	4.55	moderately long
nhn	4.419	moderately short
nht	4.842	moderately long
nhx	4.552	moderately long
nia	3.872	short
nif	3.985	short
nim	3.62	short
nin	4.25	moderately short
nis	3.69	short
nit	5.447	long
niu	3.984	short
niv	3.537	short
nju	4.438	moderately short
nkb	4.5	moderately short
nke	2.976	extremely short
nkk	6.483	extremely long
nkn	3.3	very short
nko	3.562	short
nkr	4.3	moderately short
nkt	3.987	short
nku	3.273	very short
nlu	4.779	moderately long
nma	3.417	very short
nmb	5.564	very long
nmd	4.194	moderately short
nmi	4.355	moderately short
nmm	2.77	extremely short
nnc	4.013	moderately short
nnd	4.353	moderately short
nne	3.985	short
nng	3.314	very short
nnk	3.922	short
nnm	3.763	short
nnn	3.471	very short
nnt	6.393	extremely long
nob	3.515	short
noc	3.263	very short
nog	3.718	short
nom	5.872	very long
non	2.824	extremely short
noo	3.279	very short
npa	4.183	moderately short
npi	3.308	very short
nrg	2.656	extremely short
nrm	4.514	moderately long
nro	3.862	short
nse	3.812	short
nsg	3.833	short
nsk	5.833	very long
nsn	3.176	very short
nsy	4.457	moderately short
nsz	4.05	moderately short
nti	3.345	very short
ntj	5.575	very long
ntn	4.013	moderately short
nto	3.222	very short
nua	5.222	long
nub	4.564	moderately long
nue	3.308	very short
nug	5.309	long
nuk	4.09	moderately short
nun	2.697	extremely short
nup	3.49	very short
nus	3.149	very short
nya	4.705	moderately long
nyg	3.281	very short
nyh	3.704	short
nyi	4.284	moderately short
nyk	3.473	very short
nym	3.533	short
nyn	5.343	long
nyr	5.143	long
nyu	4.769	moderately long
nza	3.921	short
nze	4.156	moderately short
obg	3.809	short
obk	4.923	moderately long
obo	3.368	very short
oca	4.737	moderately long
occ	3.952	short
ocu	4.425	moderately short
oi	3.595	short
oix	3.75	short
oji	5.038	long
ojs	5.276	long
oka	5.138	long
oko	3.908	short
oks	4.397	moderately short
oku	2.978	extremely short
olm	4.918	moderately long
olo	4.315	moderately short
olu	4.026	moderately short
oma	3.828	short
omh	3.8	short
omi	3.797	short
ond	4.7	moderately long
one	4.054	moderately short
ong	4.435	moderately short
onn	4.575	moderately long
ono	4	short
ora	3.053	very short
orb	4.502	moderately long
orc	4.225	moderately short
ord	3.212	very short
ore	4.097	moderately short
orh	4.281	moderately short
ori	4.86	moderately long
ork	4.531	moderately long
orl	4.248	moderately short
orm	3.771	short
oro	4.226	moderately short
orw	4.638	moderately long
ory	4.228	moderately short
osa	3.525	short
osm	3.372	very short
oss	3.908	short
otm	3.079	very short
oto	3.923	short
otr	4.05	moderately short
ots	3.172	very short
owc	4.231	moderately short
owi	4.251	moderately short
oya	4.167	moderately short
paa	4.408	moderately short
pac	3.632	short
pad	4.237	moderately short
pae	3.378	very short
pag	4.729	moderately long
pai	5.223	long
pal	3.629	short
pam	3.84	short
pan	4.037	moderately short
pap	4.412	moderately short
par	3.444	very short
pat	3.575	short
pau	5.429	long
paw	3.66	short
pba	4.211	moderately short
pcm	3.567	short
pdp	4.04	moderately short
pec	4.062	moderately short
pem	4.592	moderately long
pen	4.047	moderately short
per	4.197	moderately short
pga	4.618	moderately long
pgl	3.368	very short
pia	5.214	long
pil	3.986	short
pin	5.716	very long
pip	3.778	short
pis	3.591	short
pit	5.039	long
pkm	3.85	short
pkn	4.779	moderately long
pkt	4.275	moderately short
pla	5.986	very long
plb	4.091	moderately short
plg	2.996	extremely short
plh	4.54	moderately long
plk	4.235	moderately short
plr	3.333	very short
pmc	2.694	extremely short
pme	3.016	very short
pmn	2.809	extremely short
pms	4.181	moderately short
pna	3.727	short
png	4.338	moderately short
pnn	4.591	moderately long
pno	4.319	moderately short
pnr	4.358	moderately short
pnu	2.944	extremely short
pnx	3.742	short
pny	5.757	very long
pod	4.447	moderately short
pog	4.051	moderately short
poh	3.515	short
pok	3.744	short
pol	4.419	moderately short
pop	3.559	short
por	4.075	moderately short
pot	4.539	moderately long
pow	7.931	extremely long
ppc	4.775	moderately long
ppi	5.088	long
pra	3.412	very short
prc	5.421	long
prd	3.726	short
pre	3.624	short
prh	4.647	moderately long
pri	3.924	short
prk	3.775	short
prs	4.088	moderately short
prt	4.351	moderately short
psh	3.727	short
psj	3.73	short
psm	6.062	extremely long
pso	2.536	extremely short
psv	3.818	short
psw	4.361	moderately short
pta	2.619	extremely short
ptp	4.25	moderately short
ptt	3.212	very short
pui	3.125	very short
puk	3.576	short
pul	3.414	very short
pum	2.676	extremely short
pur	5.634	very long
pwn	5.494	long
qaf	4.4	moderately short
qan	4.333	moderately short
qaw	5.25	long
qay	4.331	moderately short
qbo	4.248	moderately short
qca	4.284	moderately short
qch	3.756	short
qcu	4.23	moderately short
qec	4.36	moderately short
qia	3.214	very short
qim	4.321	moderately short
qta	4.394	moderately short
que	4.115	moderately short
qui	5.026	long
qum	3.189	very short
rad	3.5	very short
rag	3.842	short
ram	4.603	moderately long
rao	4.338	moderately short
rap	4.205	moderately short
rav	3.898	short
raw	3.25	very short
rbg	3.75	short
rej	4.471	moderately short
rem	4.328	moderately short
ren	3.917	short
res	4.987	moderately long
ret	5	moderately long
rga	4.028	moderately short
rgn	4.25	moderately short
ria	4.227	moderately short
rik	4.661	moderately long
rim	3.704	short
rit	4.946	moderately long
rji	3.6	short
rka	3.922	short
rmb	5.094	long
rmc	4.004	moderately short
rnd	3.545	short
rng	3.194	very short
rnn	4.143	moderately short
rnr	4.054	moderately short
rny	3.681	short
rom	4.158	moderately short
ron	3.647	short
ror	3.894	short
rot	3.756	short
rov	4.47	moderately short
rru	3.897	short
rsh	3.449	very short
rsm	3.975	short
rti	3.409	very short
rtk	5.472	long
ruk	5.286	long
rum	3.581	short
run	4.105	moderately short
rus	4.231	moderately short
rut	3.885	short
rwa	3.597	short
rwe	4.077	moderately short
ryu	3.513	short
saa	4.178	moderately short
sab	3.943	short
sae	2.829	extremely short
sah	5.41	long
sak	3	extremely short
sal	4.614	moderately long
sam	4.325	moderately short
san	3.16	very short
sao	3.974	short
sap	3.6	short
sar	4.842	moderately long
sav	3.429	very short
saw	3.591	short
say	3.388	very short
sba	4.621	moderately long
sbg	4.425	moderately short
scr	4.075	moderately short
scs	5.562	very long
sdh	3.537	short
sdw	3.797	short
sea	4.014	moderately short
seb	5.3	long
sec	4.844	moderately long
sed	3.27	very short
see	4.935	moderately long
sel	4.276	moderately short
sem	3.97	short
sen	3.831	short
ser	3.297	very short
ses	3.544	short
sey	3.875	short
sgb	4.797	moderately long
sge	3.525	short
sgl	3.083	very short
sgr	4.431	moderately short
sgu	3.905	short
sha	3.122	very short
shb	3.77	short
shd	3.73	short
she	2.966	extremely short
shh	3.971	short
shi	4.549	moderately long
shk	4.654	moderately long
shl	3.356	very short
shm	3.545	short
sho	5.053	long
shr	3.855	short
shs	5.25	long
sht	3.811	short
shu	5.675	very long
shw	6.5	extremely long
shy	4.12	moderately short
sia	4.727	moderately long
sid	4.112	moderately short
sik	3.844	short
sil	4.444	moderately short
sim	4.372	moderately short
sin	4.789	moderately long
sio	3.971	short
sir	4.591	moderately long
sis	4.776	moderately long
siu	4	short
ski	4.188	moderately short
skk	3.611	short
skl	4.517	moderately long
skm	3.577	short
sko	2.5	extremely short
skp	3.925	short
skr	4.265	moderately short
sku	4.2	moderately short
skw	3.871	short
sla	3.457	very short
slb	4.652	moderately long
sle	3.474	very short
slg	3.405	very short
slo	4.119	moderately short
slp	3.667	short
slr	3.656	short
slv	3.867	short
sly	4.514	moderately long
smd	4.446	moderately short
sme	2.844	extremely short
smj	3.763	short
sml	4	short
smt	4.713	moderately long
sna	3.637	short
snc	4.1	moderately short
snd	5.118	long
sng	4.235	moderately short
snh	4.138	moderately short
snm	4.244	moderately short
snn	4.684	moderately long
sno	5.119	long
snt	3.279	very short
so	3	extremely short
sob	4.574	moderately long
sod	4.182	moderately short
sol	3.906	short
som	3.994	short
son	4.029	moderately short
soq	4.219	moderately short
sor	4.36	moderately short
sou	4.112	moderately short
spa	4.556	moderately long
spo	4.875	moderately long
sps	4.975	moderately long
squ	4.312	moderately short
sra	3.882	short
src	3.143	very short
srd	4.487	moderately short
sre	3.342	very short
sri	4.513	moderately long
srl	4.175	moderately short
srm	3.806	short
srn	3.571	short
sro	3.824	short
srr	3.846	short
sru	3.375	very short
sry	5.167	long
ssa	3.84	short
ssh	3.975	short
sta	4.135	moderately short
sti	3.282	very short
stl	3.876	short
stn	3.189	very short
sub	3.861	short
sud	4.716	moderately long
sue	3.737	short
sug	3.519	short
sui	2.833	extremely short
suk	4.261	moderately short
sul	3.826	short
sum	3.472	very short
sun	4.868	moderately long
sup	4.173	moderately short
sur	4.5	moderately short
sus	4.089	moderately short
sva	3.795	short
svk	4.075	moderately short
svs	4.167	moderately short
swa	3.487	very short
swe	3.504	short
swi	4.157	moderately short
swt	3.639	short
syg	3.55	short
syu	3.25	very short
tab	3.867	short
tac	4.153	moderately short
taf	3.824	short
tag	4.681	moderately long
tah	4.394	moderately short
tai	4.469	moderately short
taj	4.1	moderately short
tak	3.403	very short
tal	3.974	short
tam	2.962	extremely short
tan	3.682	short
tao	3.743	short
tap	4.236	moderately short
tar	5.181	long
tas	4.125	moderately short
tat	4.452	moderately short
tau	3.986	short
taw	4.5	moderately short
taz	3.5	very short
tba	4.14	moderately short
tbb	4.05	moderately short
tbe	4.35	moderately short
tbl	4.298	moderately short
tbo	4.649	moderately long
tbr	4.917	moderately long
tbs	3.319	very short
tbt	3.969	short
tbu	3.692	short
tbw	3.514	short
tbx	3.179	very short
tce	4.225	moderately short
tda	3.862	short
tec	3.525	short
tee	5.075	long
teh	4.794	moderately long
tel	5.122	long
tem	4.5	moderately short
ten	4	short
teo	4	short
tep	5.737	very long
ter	4.167	moderately short
tes	5.4	long
tet	3.326	very short
tew	3.2	very short
tex	3.406	very short
tga	3.706	short
tgb	4.776	moderately long
tgk	3.941	short
tgl	2.538	extremely short
tgn	3.758	short
tgo	3.342	very short
tgp	5.312	long
tgw	3.868	short
tha	3.214	very short
thd	3.194	very short
thk	2.763	extremely short
thn	3.949	short
tho	5.138	long
tht	3.714	short
thu	3.474	very short
thw	4.324	moderately short
thy	3.816	short
tia	4.85	moderately long
tib	3.163	very short
tic	4.576	moderately long
tid	4.013	moderately short
tif	4.371	moderately short
tig	4.517	moderately long
tik	3.202	very short
til	5.446	long
tim	4.632	moderately long
tin	3.871	short
tir	4.486	moderately short
tiv	3.163	very short
tiw	6.829	extremely long
tke	3.722	short
tki	3.419	very short
tkl	3.419	very short
tkm	3.974	short
tks	3.98	short
tla	4.482	moderately short
tld	4.617	moderately long
tlf	4.25	moderately short
tli	3.603	short
tll	4.632	moderately long
tlo	4.593	moderately long
tlp	3.872	short
tmc	3.9	short
tmg	4.438	moderately short
tmi	3.675	short
tmk	3.139	very short
tml	4.629	moderately long
tmm	4.189	moderately short
tmn	5.075	long
tmo	2.923	extremely short
tmr	4.053	moderately short
tna	4.295	moderately short
tnc	3.769	short
tnd	4.051	moderately short
tne	3.115	very short
tng	4.281	moderately short
tni	3.257	very short
tnj	4.072	moderately short
tnk	4.103	moderately short
tnl	4.372	moderately short
tnn	2.712	extremely short
tno	3.919	short
tns	4.411	moderately short
tnt	3.906	short
tny	3.8	short
toa	4.252	moderately short
tob	5.976	very long
tod	3.615	short
tof	3.5	very short
toj	3.859	short
tok	3.571	short
tol	3.744	short
ton	5.578	very long
toq	3.515	short
tor	4.122	moderately short
tos	5.112	long
tot	5.105	long
tou	3.493	very short
tow	4.162	moderately short
toz	3.757	short
tpa	5.154	long
tpc	3.679	short
tpi	3.654	short
tpn	4.194	moderately short
tpr	3.321	very short
tps	3.966	short
tpt	4.562	moderately long
trb	3.629	short
trc	3.778	short
trd	4.257	moderately short
tri	3.219	very short
trn	4.375	moderately short
trr	5.053	long
trt	3.75	short
tru	3.839	short
trw	2.8	extremely short
try	5.115	long
tsa	3.808	short
tse	3.526	short
tsf	3.974	short
tsg	5.153	long
tsh	5.48	long
tsi	3.788	short
tsj	2.944	extremely short
tsk	4.756	moderately long
tsn	4.608	moderately long
tso	4.029	moderately short
tsr	4.765	moderately long
tst	3.132	very short
tsw	3.513	short
tsz	3.695	short
ttd	4.241	moderately short
tte	4.593	moderately long
tts	3.671	short
ttu	3.5	very short
tty	4.064	moderately short
tua	4.323	moderately short
tub	4.871	moderately long
tuc	4.66	moderately long
tuk	3.913	short
tul	5.179	long
tum	4.63	moderately long
tun	4.225	moderately short
tur	4.088	moderately short
tus	4.312	moderately short
tuv	3.525	short
tuy	4.821	moderately long
tvt	3.575	short
twa	5.718	very long
twn	2.775	extremely short
tws	2.875	extremely short
txj	5.125	long
tye	5.069	long
tza	3.667	short
tze	3.868	short
tzu	3.837	short
uby	3.688	short
udh	3.725	short
udi	3.658	short
udm	3.538	short
uhi	4.158	moderately short
ukr	4.463	moderately short
uku	4.578	moderately long
ulc	4.062	moderately short
uld	4.743	moderately long
uli	3.946	short
uma	4.321	moderately short
umb	3.907	short
una	3.883	short
ung	4.733	moderately long
unm	5.833	very long
ura	5	moderately long
urd	3.526	short
urh	3.619	short
uri	3.676	short
urk	4.056	moderately short
url	4.486	moderately short
urn	5.148	long
urt	4.419	moderately short
uru	4.325	moderately short
usa	3.931	short
usr	2.786	extremely short
ute	4.725	moderately long
uyg	4.297	moderately short
uzb	3.7	short
vaf	3.583	short
vag	3.433	very short
vai	3.083	very short
vas	3.75	short
vat	3.555	short
ved	5.281	long
ven	3.5	very short
vep	3.837	short
vie	2.971	extremely short
vif	3.706	short
vnm	4.029	moderately short
vot	3.273	very short
wag	5.577	very long
wah	3.797	short
wai	4.346	moderately short
wak	3.826	short
wal	4.487	moderately short
wam	6.378	extremely long
wan	5.068	long
wao	4.632	moderately long
wap	4.075	moderately short
war	4.556	moderately long
was	4.5	moderately short
wat	5.771	very long
wau	3.284	very short
way	4.197	moderately short
wbn	3.829	short
wch	4.494	moderately short
wec	4.075	moderately short
wed	4.833	moderately long
wer	4.842	moderately long
wet	4.121	moderately short
wgg	4.688	moderately long
wgl	3.038	very short
wgu	5.014	long
wic	4.944	moderately long
wik	4.867	moderately long
win	2.688	extremely short
wir	4.757	moderately long
wiy	5.091	long
wkw	4.042	moderately short
wlf	3.832	short
wll	4.444	moderately short
wlm	5.028	long
wlo	3.939	short
wlw	5.467	long
wly	4.465	moderately short
wma	3.764	short
wme	3.638	short
wmu	4.461	moderately short
wn	4.513	moderately long
wna	3.094	very short
wnb	3.5	very short
wnt	4.179	moderately short
wob	2.766	extremely short
wog	3.685	short
woi	4.087	moderately short
wol	4.324	moderately short
wor	6.045	extremely long
wps	5.244	long
wra	4.564	moderately long
wrb	4.949	moderately long
wrd	5.974	very long
wrg	4.957	moderately long
wrk	5.138	long
wrl	5.385	long
wrm	3.595	short
wrn	5.543	very long
wrp	4.182	moderately short
wrs	4.235	moderately short
wru	6.017	extremely long
wrw	5.071	long
wry	3.8	short
wsk	4.486	moderately short
wtm	3.953	short
wuc	3.359	very short
wur	4.806	moderately long
wwa	4.138	moderately short
wwy	4.443	moderately short
wya	4.231	moderately short
wyn	4.382	moderately short
xam	4.053	moderately short
xar	3.275	very short
xas	3.475	very short
xav	4.795	moderately long
xbi	4.697	moderately long
xer	4.892	moderately long
xho	3.603	short
xns	3.016	very short
xok	4.2	moderately short
xoo	3.578	short
xun	3.423	very short
yag	4.936	moderately long
yah	4.487	moderately short
yak	3.627	short
yal	3.777	short
yam	4.054	moderately short
yan	4.743	moderately long
yao	4.092	moderately short
yap	3.789	short
yaq	4.35	moderately short
yar	3.861	short
yaw	4.385	moderately short
yay	2.855	extremely short
yaz	3.608	short
yba	2.972	extremely short
ybi	4.359	moderately short
ych	5	moderately long
ycn	5.594	very long
yct	3.462	very short
ydd	3.956	short
yei	5.046	long
yel	4.138	moderately short
yem	2.822	extremely short
yes	3.135	very short
yey	3.194	very short
ygd	2.917	extremely short
ygn	3.91	short
yi	2.756	extremely short
yid	4.882	moderately long
yil	3.333	very short
yim	4.939	moderately long
yin	5.31	long
yir	3.868	short
yki	3.632	short
ykm	2.987	extremely short
ykn	4.382	moderately short
yko	4.506	moderately long
ykp	4.494	moderately short
ykt	3.763	short
yli	4.459	moderately short
ylm	3.947	short
ylr	5.324	long
ymd	4.109	moderately short
ymi	5	moderately long
yms	3.962	short
ynk	5.282	long
ynm	4.575	moderately long
yns	3.046	very short
yny	5.888	very long
yor	3.208	very short
yqy	4.603	moderately long
yrc	4.425	moderately short
yrr	3.556	short
yrt	4.385	moderately short
ysi	5.515	very long
ysl	5.525	very long
ytu	4.981	moderately long
yuc	3.294	very short
yug	3.324	very short
yuk	5.827	very long
yur	4.4	moderately short
ywr	5.194	long
zag	3.325	very short
zai	3.859	short
zaj	4.243	moderately short
zam	3.218	very short
zan	3.594	short
zap	3.808	short
zaq	3.013	very short
zar	3.962	short
zay	4.033	moderately short
zaz	4.388	moderately short
zch	3.987	short
zen	4.956	moderately long
zfl	3.628	short
zim	4.357	moderately short
zno	3.595	short
zpr	6.242	extremely long
zqc	3.795	short
zqr	3.85	short
zqs	3.727	short
zsq	4.287	moderately short
zte	2.938	extremely short
zun	4.382	moderately short
zya	3.947	short
zzo	3.75	short
