code	MWL	value
bor	4.987	moderately long
bos	4.15	moderately short
bou	4.362	moderately short
boz	3.408	very short
bpa	4.044	moderately short
bpb	3.308	very short
bqb	4.469	moderately short
bra	3.618	short
brb	3.6	short
brc	4.289	moderately short
brd	5.289	long
bre	4.062	moderately short
brf	4.375	moderately short
brh	3.875	short
bri	3.556	short
brj	3.956	short
brk	4.564	moderately long
brl	3.237	very short
brm	3.15	very short
brn	5.153	long
bro	3.339	very short
brp	3.564	short
brr	4.179	moderately short
brs	4.162	moderately short
bru	3.975	short
brw	3.559	short
bry	4.894	moderately long
brz	3.242	very short
bse	3.712	short
bsh	3.04	very short
bsi	4.713	moderately long
bsk	3.981	short
bsm	3.458	very short
bsr	3.562	short
btk	4.461	moderately short
bto	4.735	moderately long
bua	5.632	very long
bub	3.569	short
bud	4.162	moderately short
bug	4.145	moderately short
bui	3.773	short
buj	3.327	very short
buk	3.837	short
bul	4.154	moderately short
bum	3.758	short
bun	3.628	short
bur	3.617	short
bus	2.556	extremely short
but	4.3	moderately short
buu	4.25	moderately short
buw	2.872	extremely short
buy	4.156	moderately short
bvi	4.446	moderately short
bwc	4.107	moderately short
bya	3.431	very short
bys	3.97	short
bzi	3.454	very short
cab	4.026	moderately short
cac	3.362	very short
cad	5.075	long
cah	4.378	moderately short
cai	4.119	moderately short
cak	3.562	short
cam	5.588	very long
can	4.889	moderately long
cap	3.91	short
car	4.628	moderately long
cas	3.849	short
cat	4.143	moderately short
cav	4.325	moderately short
cax	6.757	extremely long
cay	4	short
cba	4.286	moderately short
cbo	4.514	moderately long
cch	3.868	short
cck	5.256	long
ccm	2.604	extremely short
ccp	3.931	short
cct	4.737	moderately long
cde	4.059	moderately short
ceb	4.471	moderately short
cec	4.323	moderately short
cem	3.423	very short
cga	3.684	short
cha	5.3	long
chb	5.42	long
chc	3.492	very short
chd	3.527	short
che	5.949	very long
chg	3.492	very short
chh	3.904	short
chi	4.591	moderately long
chj	3.467	very short
chk	6.463	extremely long
chl	4.526	moderately long
chm	3.724	short
chn	3.408	very short
cho	3.962	short
chp	2.971	extremely short
chr	3.209	very short
chs	2.671	extremely short
chu	4.4	moderately short
chv	3.831	short
chw	4	short
chx	4.257	moderately short
chy	5.141	long
chz	3.157	very short
cic	4	short
cin	3.974	short
cjo	4.436	moderately short
ckh	4.735	moderately long
ckl	4.615	moderately long
cla	5.612	very long
cld	4.525	moderately long
cle	3.264	very short
cln	3.439	very short
cly	3.48	very short
cma	5.064	long
cmc	3.921	short
cme	4.258	moderately short
cmh	4.39	moderately short
cml	4.086	moderately short
cmn	4.541	moderately long
cmr	3.554	short
cmx	4.906	moderately long
cmy	3.736	short
cnl	3.474	very short
cnm	4.806	moderately long
cnt	2.758	extremely short
coc	4.579	moderately long
coe	5.9	very long
cof	4.671	moderately long
cog	5.037	long
coi	3.669	short
col	3.819	short
com	3.325	very short
coo	4.486	moderately short
cop	3.608	short
cor	3.676	short
cpa	4.208	moderately short
cpl	2.829	extremely short
cpn	3.211	very short
cpw	6.364	extremely long
cpy	3.85	short
cqt	3.821	short
cre	6.103	extremely long
crg	4.105	moderately short
crh	3.955	short
cri	3.628	short
crj	5.237	long
crk	5.026	long
crl	3.284	very short
crn	4.088	moderately short
cro	4.038	moderately short
crp	4.105	moderately short
crq	3.388	very short
crt	4.95	moderately long
csc	2.847	extremely short
csf	3.635	short
csh	3.897	short
csk	4.673	moderately long
cso	3.905	short
ctc	4.032	moderately short
cte	2.875	extremely short
cti	2.8	extremely short
ctl	3.811	short
ctm	3.5	very short
ctt	3.79	short
ctw	3.806	short
cua	3.553	short
cub	4.904	moderately long
cui	5.287	long
cul	4.7	moderately long
cum	4.108	moderately short
cup	3.412	very short
cur	4.675	moderately long
cuu	3.074	very short
cvc	4.15	moderately short
cwe	6.064	extremely long
cyg	4.463	moderately short
cyn	5.564	very long
cyv	4.462	moderately short
cze	4.2	moderately short
daa	4.079	moderately short
dab	4.429	moderately short
dad	4.189	moderately short
dag	4.775	moderately long
dah	4.388	moderately short
dak	4.312	moderately short
dam	4.859	moderately long
dan	2.138	extremely short
dar	3.941	short
dat	5.419	long
daw	3.161	very short
day	2.974	extremely short
dbd	3.929	short
dbr	3.625	short
dca	4.697	moderately long
dda	5.658	very long
ddf	4.316	moderately short
ddj	3.743	short
dds	3.709	short
def	3.433	very short
deg	3.864	short
den	4.784	moderately long
der	5.271	long
des	4.414	moderately short
det	3.054	very short
deu	3.45	very short
dga	3.467	very short
dgb	3.517	short
dgi	3.333	very short
dgo	3.8	short
dgr	3.681	short
dha	3.795	short
dhb	4.232	moderately short
dhi	3.274	very short
dhm	3.562	short
dhr	4.81	moderately long
dhu	5.397	long
dhw	5.581	very long
did	4.526	moderately long
die	4.194	moderately short
dig	3.545	short
dim	3.769	short
din	3.333	very short
dio	4.411	moderately short
diy	4.469	moderately short
diz	3.638	short
dja	5.103	long
dji	6.474	extremely long
djm	4.652	moderately long
djn	5.25	long
djp	4.938	moderately long
djr	4.562	moderately long
dma	3.771	short
dmi	3.392	very short
dmk	3.36	very short
dms	4	short
dng	3.006	very short
dni	4.203	moderately short
dnw	3.5	very short
dob	3.842	short
dok	3.472	very short
dol	3.615	short
dom	3.719	short
don	2.597	extremely short
dou	3.788	short
doy	3.911	short
dre	4.515	moderately long
drg	3.714	short
dri	4.15	moderately short
drm	3.053	very short
dsh	3.913	short
dts	3.6	short
dua	3.264	very short
dug	4.344	moderately short
duk	2.952	extremely short
dul	2.5	extremely short
dum	2.931	extremely short
dun	3.889	short
duz	3.675	short
dyi	5.125	long
dym	3.967	short
dyu	3.555	short
ebi	3.56	short
edo	4.056	moderately short
efi	3.487	very short
ega	3.703	short
egn	3.306	very short
eip	4.529	moderately long
eja	2.811	extremely short
eka	3.895	short
eko	3.7	short
els	4.113	moderately short
emb	4.628	moderately long
emc	3.694	short
eme	3.519	short
eml	4.162	moderately short
emm	5.379	long
ena	4.513	moderately long
ene	3.816	short
eng	3.381	very short
eno	4.312	moderately short
eny	3.449	very short
epe	3.857	short
erk	3.871	short
err	3.515	short
ese	4.151	moderately short
ess	4.261	moderately short
est	3.817	short
ets	3.176	very short
eud	4.125	moderately short
eve	4.407	moderately short
evn	4.331	moderately short
ewe	3.172	very short
ewo	3.147	very short
eya	4.013	moderately short
far	4.125	moderately short
fas	4.52	moderately long
fbf	4.821	moderately long
fea	3.586	short
fef	2.716	extremely short
fgo	4.592	moderately long
fgu	4.583	moderately long
fij	4.974	moderately long
fin	4.356	moderately short
fio	4.138	moderately short
fiw	3.867	short
fma	4.641	moderately long
fni	4.533	moderately long
fno	3.6	short
foe	4.158	moderately short
fon	3.099	very short
for	6.09	extremely long
fox	6.324	extremely long
fqs	4.24	moderately short
frd	4.149	moderately short
fre	3.025	very short
frw	3.85	short
fue	4.23	moderately short
ful	4.2	moderately short
fum	4.812	moderately long
fur	3.671	short
fut	4.132	moderately short
fuz	4.184	moderately short
fye	3.632	short
ga	3.15	very short
gaa	5.743	very long
gad	3.025	very short
gae	3.7	short
gag	4.227	moderately short
gah	5.474	long
gam	4.276	moderately short
gan	3.936	short
gap	4.844	moderately long
gar	3.969	short
gau	3.413	very short
gav	3.452	very short
gay	4.015	moderately short
gbb	3.228	very short
gbc	3.667	short
gbk	3.198	very short
gbl	4.025	moderately short
gcy	4.938	moderately long
gdb	3.838	short
gdf	4.765	moderately long
gdk	4.033	moderately short
gdl	3.447	very short
gdr	3.828	short
gds	5.039	long
gel	4.118	moderately short
geo	4.575	moderately long
gfr	3.722	short
ggu	4.194	moderately short
ghb	5.575	very long
gho	2.37	extremely short
ghr	3.325	very short
gil	4	short
gim	3.212	very short
gir	2.776	extremely short
giz	4.014	moderately short
gji	5.722	very long
gjj	4.289	moderately short
gku	4.775	moderately long
gla	3.577	short
glc	4.308	moderately short
gll	3.98	short
gln	3.766	short
glp	5.016	long
gmb	4.026	moderately short
gml	4.342	moderately short
gmt	5.088	long
gmw	4.812	moderately long
gmz	3.966	short
gnb	5.765	very long
gnd	4.786	moderately long
gnn	4.679	moderately long
gno	4.408	moderately short
gny	4.548	moderately long
goa	4.912	moderately long
god	4.211	moderately short
goe	3.657	short
gog	4.153	moderately short
goj	3.12	very short
gok	2.763	extremely short
gol	3.421	very short
gon	4.126	moderately short
goo	5.081	long
grb	3.107	very short
gre	5.775	very long
grf	4.714	moderately long
grg	5.458	long
grj	4.777	moderately long
grk	4.5	moderately short
grm	4.036	moderately short
grn	4.333	moderately short
gro	2.962	extremely short
grp	3.697	short
grr	5.588	very long
grs	3.471	very short
grt	5.03	long
gto	3.158	very short
gua	4.192	moderately short
gud	4.057	moderately short
gue	2.881	extremely short
guf	5.352	long
gug	4.571	moderately long
guh	4.043	moderately short
guj	3.825	short
gul	4.03	moderately short
gum	5.175	long
gun	3.61	short
gur	3.679	short
gus	3.689	short
guu	4.788	moderately long
gwa	4.087	moderately short
gwo	3.697	short
gyb	4.244	moderately short
gyc	3.962	short
had	4.213	moderately short
hai	4.244	moderately short
hak	3.227	very short
hal	5.635	very long
ham	4.362	moderately short
han	2.91	extremely short
har	4.773	moderately long
hat	3.744	short
hau	4.199	moderately short
hav	3.992	short
haw	3.896	short
hay	3.532	short
hba	4.075	moderately short
hcr	2.936	extremely short
hdi	4.312	moderately short
heh	4.062	moderately short
hei	4.487	moderately short
hem	3.868	short
her	3.138	very short
hhu	3.967	short
hid	4.405	moderately short
hil	4.581	moderately long
hin	3.781	short
hix	4.564	moderately long
hlb	3.557	short
hli	5.162	long
hma	3.375	very short
hmb	4.213	moderately short
hmd	2.404	extremely short
hmi	4.594	moderately long
hmo	2.357	extremely short
hmr	3.862	short
hmu	4.506	moderately long
hna	3.903	short
hnd	3.413	very short
hnk	3.5	very short
hnn	4.706	moderately long
hno	4.154	moderately short
ho	3.862	short
hoa	4.422	moderately short
hok	3.375	very short
hol	3.493	very short
hop	3.9	short
hpd	3.514	short
hrr	3.694	short
hrs	4.641	moderately long
hsl	4.308	moderately short
htc	4.175	moderately short
